ID,,,,,,,gender,age,college,white,knowledge_counter,extraversion,agreeable,consecientious,emotionally_stable,open_new_experiences,political_interest,strong_partisan,percent_other_party_exposure,democrat,sevenpoint_ideology,regionMidwest,regionSouth,regionWest,,republican,,,,displayCondition,chatID_full,,,,,,
46,-0.182545709,-0.008148148,-0.016666667,0.07,0.066666667,0.027777778,1,63,0,1,2,6,2,2,3.5,4.5,4,1,20,0,7,TRUE,FALSE,FALSE,-0.852976171,1,FALSE,1,1,INCORRECT,0ECFxYqUpOsOOKYj1J2L,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
49,-1.508045524,-0.195,-0.01,-0.085,0.166666667,0.333333333,1,58,0,1,2,6,1,1,2,2,4,0,50,0,6,FALSE,TRUE,FALSE,-0.780894411,1,FALSE,1,1,INCORRECT,0kMHyqRU3US9gB5pGVsj,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
52,0.852788164,0.082592593,0.033333333,-0.03,-0.166666667,-0.111111111,1,65,0,0,2,4.5,4,2,1,3,4,0,5,0,6,FALSE,TRUE,FALSE,1.525952607,1,FALSE,1,1,INCORRECT,0t8gRY4VNGoQkRH7xZzn,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
58,0.882758355,-0.003333333,0.123333333,-0.01,0,0,1,53,0,1,3,4.5,3.5,2.5,1.5,1.5,4,0,15,0,5,FALSE,FALSE,FALSE,-0.997168528,1,TRUE,1,1,CORRECT,0PlwinuOlg8i3LfXmOFb,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
62,0.65525736,-0.004259259,0.093333333,0.015,0,0.027777778,2,58,0,1,2,5,2.5,3,3,4,4,0,50,0,4,FALSE,TRUE,FALSE,-0.204182657,1,FALSE,1,1,NONE,2gBvwZRDe51Ae73eDabo,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
69,-1.802298309,-0.161666667,-0.083333333,-0.185,0.133333333,0.166666667,1,76,1,1,3,2.5,2.5,1.5,1.5,2,4,1,20,1,3,TRUE,FALSE,FALSE,0.588796006,0,FALSE,0,1,CORRECT,NsCvCwQY4Gv3DhRLFr51,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
75,-0.544912565,-0.090740741,0.016666667,-0.05,0.083333333,0.138888889,1,70,1,1,3,7,5,2.5,4.5,3,4,0,,1,4,FALSE,TRUE,FALSE,2.2468423,0,FALSE,1,1,NONE,KsvY1Dt9WZtFkXGvLvDg,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
76,2.325414372,0.116111111,0.2,0.015,-0.333333333,0,1,65,0,1,2,1,2.5,1,5.5,2,4,1,1,0,7,FALSE,TRUE,FALSE,-0.636716472,1,FALSE,1,1,INCORRECT,MBa9UY0GcqsZRTG1Qjmo,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
82,0.246572936,0.010185185,0.023333333,-0.025,0,-0.055555556,1,75,1,1,3,7,3.5,5.5,3,2.5,4,1,10,1,2,FALSE,FALSE,TRUE,-0.492538534,0,FALSE,0,1,INCORRECT,2n4IJzuLG3IOdB2UhiEK,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
86,0.024521065,-0.003333333,0.006666667,-0.01,0,0,1,59,0,0,2,5,2,3,2.5,3,4,1,,1,4,FALSE,TRUE,FALSE,-0.780894411,0,FALSE,0,1,CORRECT,8gvKwsUqlPusrNEHIYXr,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
90,-1.61021663,-0.168888889,-0.05,-0.34,-0.083333333,0.25,1,70,1,1,2,4,3.5,3.5,3.5,2.5,4,0,40,1,3,TRUE,FALSE,FALSE,0.588796006,0,FALSE,0,1,NONE,5aLz41AkspDmI5kuNKoa,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
93,2.559726775,0.28462963,0.063333333,0.715,0.333333333,-0.472222222,2,58,0,0,3,3.5,6,2.5,5.5,2.5,4,1,10,1,2,FALSE,TRUE,FALSE,0.588796006,0,FALSE,0,1,INCORRECT,HwIHjxo5b1NTCS4P3oNS,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
97,-1.791400058,-0.096851852,-0.146666667,-0.085,0.15,0.055555556,2,52,1,1,3,6.5,2.5,1,6,3,4,0,40,0,4,FALSE,TRUE,FALSE,6.21174282,1,FALSE,1,1,INCORRECT,1X4JXqdKEXbw1CCq1JxS,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
105,1.444018297,0.092962963,0.103333333,0.115,-0.108333333,-0.055555556,1,34,1,1,2,5.5,2.5,1.5,4,2.5,3,1,50,1,3,TRUE,FALSE,FALSE,0.300440129,0,FALSE,1,1,CORRECT,1HCkCt0JSAFDGYSNVVr8,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
109,-0.008173688,0.048888889,-0.05,0.13,0.066666667,-0.083333333,1,66,1,1,3,2,4,3,2,3,4,0,20,0,5,FALSE,TRUE,FALSE,3.328176839,1,FALSE,1,1,CORRECT,1RRpyRH13jpETTFzfvtD,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
117,-1.062579502,-0.077777778,-0.066666667,-0.15,0,0.083333333,1,76,1,1,3,2.5,5,3,5.5,2,4,1,55,0,6,FALSE,TRUE,FALSE,0.300440129,1,FALSE,1,1,CORRECT,1UERijH7RvXUepisvbWJ,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
119,0.619838043,0.084259259,0,0.025,-0.283333333,0.055555556,1,64,0,1,3,4.5,2.5,2,1.5,2.5,4,1,5,1,1,FALSE,TRUE,FALSE,0.084173221,0,FALSE,1,1,CORRECT,3Yx3iXlzkWeonav0PAkd,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
122,-0.711110897,0.08,-0.176666667,0.14,-0.016666667,-0.083333333,1,63,1,1,3,5,2,2,3.5,2,4,0,20,1,2,TRUE,FALSE,FALSE,-0.852976171,0,FALSE,1,1,INCORRECT,4fFjWQ66DEA54l9YorEX,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
123,0.061302664,-0.011666667,0.02,-0.035,0,0,1,64,1,1,3,5.5,4,3,5,4,4,1,75,1,2,FALSE,TRUE,FALSE,0.084173221,0,FALSE,1,1,INCORRECT,1h32pJZ8H88MDFplY0SU,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
126,1.2532989,0.163703704,0.006666667,0.03,-0.35,-0.111111111,2,41,0,0,1,4.5,3,1,1.5,2.5,4,0,50,0,5,TRUE,FALSE,FALSE,0.300440129,1,FALSE,0,1,CORRECT,4GLeGeUr3bx72Vhq1CbC,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
134,0.441379178,0.08,-0.02,0.09,-0.233333333,0.083333333,2,52,1,1,3,2.5,3,2.5,2.5,3.5,4,0,20,1,2,FALSE,TRUE,FALSE,0.300440129,0,FALSE,0,1,NONE,TiQyY1B5MKPPC4jgh9mx,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
136,2.272285396,0.288888889,0.02,,-0.133333333,-0.444444444,2,67,0,0,2,6,2.5,1,4,4,4,1,4,1,4,FALSE,TRUE,FALSE,0.588796006,0,FALSE,1,1,INCORRECT,0t8gRY4VNGoQkRH7xZzn,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
137,0.613026636,0.023333333,0.06,0.02,-0.133333333,0.083333333,1,44,0,1,2,3,4,1,1.5,2,3,0,15,0,5,FALSE,TRUE,FALSE,-0.204182657,1,FALSE,1,1,CORRECT,1gd2qrI8IBAbHuDbovyy,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
141,0.333758946,0.012037037,0.033333333,-0.025,-0.2,0.138888889,2,51,1,0,3,5,2.5,2,2,2,4,0,20,1,2,TRUE,FALSE,FALSE,0.300440129,0,FALSE,1,1,CORRECT,1gd2qrI8IBAbHuDbovyy,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
142,0.261558031,0.022222222,0.013333333,0,-0.066666667,0,1,37,0,1,3,3,3,2,4,4,4,1,20,0,6,TRUE,FALSE,FALSE,0.949240852,1,FALSE,1,1,CORRECT,1HCkCt0JSAFDGYSNVVr8,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
149,-0.975393492,-0.062592593,-0.07,-0.01,0.066666667,0.111111111,2,40,1,1,2,2,4,1,4,2,3,1,5,1,3,FALSE,TRUE,FALSE,1.525952607,0,FALSE,1,1,CORRECT,1RRpyRH13jpETTFzfvtD,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
151,-0.45363971,-0.108333333,0.046666667,-0.225,0.266666667,-0.166666667,1,73,0,1,3,6,2.5,1,3.5,2,4,1,75,1,2,FALSE,TRUE,FALSE,-0.060004718,0,FALSE,1,1,INCORRECT,1X4JXqdKEXbw1CCq1JxS,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
153,-0.361004574,-0.029074074,-0.02,0.085,0.2,-0.027777778,2,58,1,1,3,7,4,2,6,3.5,4,0,50,0,6,FALSE,TRUE,FALSE,-0.348360595,1,FALSE,1,1,NONE,CDqUpmWQDbXd2shUE7BA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
154,-0.809195159,-0.056666667,-0.053333333,-0.17,0,0,2,57,0,1,3,2,2,2.5,5,1,4,0,5,1,2,FALSE,FALSE,FALSE,0.300440129,0,FALSE,1,1,INCORRECT,AhynQm2EoqHQNyHaOTvG,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
156,-0.559897661,-0.039444444,-0.036666667,-0.035,0.083333333,0,1,33,1,1,2,6.5,1.5,1,5,3.5,4,1,20,1,1,FALSE,TRUE,FALSE,-0.492538534,0,FALSE,1,1,CORRECT,BnLhC6u899F1lMDVm5YI,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
161,0.811919722,0.077037037,0.033333333,-0.08,-0.2,-0.111111111,1,60,1,1,3,6,1,2,4,1.5,4,1,50,1,2,FALSE,TRUE,FALSE,0.084173221,0,FALSE,1,1,CORRECT,1m6ycNYdsbZ6BDmlfvRb,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
164,-0.340570353,-0.02962963,-0.016666667,-0.05,0.066666667,-0.027777778,1,58,1,0,3,4.5,3,1.5,1,4.5,4,1,15,1,1,FALSE,FALSE,FALSE,-0.060004718,0,FALSE,0,1,NONE,MesKTchxF8coO31P9BiX,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
167,-0.148488674,-0.053518519,0.033333333,-0.105,0.083333333,-0.027777778,1,64,1,1,3,6.5,1.5,2,1,1.5,4,1,20,1,1,FALSE,FALSE,FALSE,0.949240852,0,FALSE,0,1,CORRECT,UzjnTrAE1pgedMzFdoX7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
168,0.701574928,0.03537037,0.06,-0.005,-0.083333333,-0.027777778,2,73,0,1,1,5,3.5,2.5,1,3.5,3,1,5,0,5,FALSE,FALSE,TRUE,-0.636716472,1,FALSE,1,1,CORRECT,1m6ycNYdsbZ6BDmlfvRb,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
175,0.371902826,0.010555556,0.04,0.015,0.066666667,-0.083333333,1,31,1,1,3,5.5,1.5,2,2.5,2,4,1,15,1,2,TRUE,FALSE,FALSE,0.084173221,0,FALSE,1,1,CORRECT,AhIlLFdCabaEmeU3nxJC,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
177,0.24112381,-0.047222222,0.08,,0.066666667,0.027777778,2,61,0,1,1,4,2,2.5,3,4,2,0,20,0,6,FALSE,FALSE,FALSE,0.084173221,1,FALSE,1,1,NONE,45slYVEut8Nfi50yqOE7,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
186,0.001362281,0.003518519,-0.003333333,0.005,-0.2,0.194444444,2,63,0,1,3,4.5,1,1,1,1.5,4,1,5,0,7,FALSE,TRUE,FALSE,0.588796006,1,FALSE,0,1,NONE,5aLz41AkspDmI5kuNKoa,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
187,0.167560614,-0.017222222,0.04,0.015,0.066666667,0,1,34,1,0,3,5,3,1.5,1.5,4.5,4,1,20,0,7,TRUE,FALSE,FALSE,-0.060004718,1,FALSE,0,1,CORRECT,8gvKwsUqlPusrNEHIYXr,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
188,0.309237881,0.008703704,0.033333333,0.065,-0.016666667,0.055555556,2,62,1,1,3,4.5,2.5,1.5,3,1.5,4,1,30,1,1,TRUE,FALSE,FALSE,-0.997168528,0,TRUE,1,1,INCORRECT,0kMHyqRU3US9gB5pGVsj,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
193,-0.162111488,-0.02537037,0.003333333,0.035,0,0.111111111,2,40,0,1,3,4.5,4,2.5,4.5,3.5,4,0,50,0,6,FALSE,TRUE,FALSE,0.300440129,1,FALSE,1,1,INCORRECT,0q6SuqOOFv2lq7rCwwmk,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
197,-0.211153619,-0.008703704,-0.02,-0.015,0.066666667,-0.055555556,2,51,1,0,2,6.5,1,1,1.5,1.5,4,0,1,0,5,FALSE,TRUE,FALSE,0.300440129,1,FALSE,1,1,CORRECT,LiEUqxb2LJz65sb89STr,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
203,-0.156662362,-0.00462963,-0.016666667,-0.125,0,-0.111111111,1,60,1,1,3,5.5,4,4.5,4,2.5,4,0,45,0,6,FALSE,FALSE,TRUE,1.525952607,1,FALSE,1,1,NONE,EAelxJLtYGjvedreBFcj,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
204,0.079012322,0.010740741,0,0.06,0,0.027777778,1,32,1,1,3,5,3.5,3.5,2.5,2.5,4,0,65,1,4,FALSE,FALSE,TRUE,0.084173221,0,FALSE,1,1,NONE,WE3G5AvhsAnaJGM1fEHu,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
207,-1.672881575,-0.027407407,-0.2,-0.11,0,-0.027777778,2,40,0,1,2,4.5,3,1,4,2.5,4,0,50,0,6,TRUE,FALSE,FALSE,-0.492538534,1,FALSE,1,1,NONE,82IoLCHkc0ZGuiGi8kYa,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
209,-1.667432449,0,-0.226666667,,0,0,2,50,1,1,0,3.5,2,2,2,1,2,0,50,1,5,TRUE,FALSE,FALSE,0.949240852,0,FALSE,1,1,CORRECT,6fJs9dBrmK0oDwBpUaA8,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
213,1.306427875,0.017592593,0.16,0.075,0.133333333,-0.111111111,2,28,0,0,3,4,4,2.5,4,3,4,1,50,0,5,FALSE,TRUE,FALSE,-0.492538534,1,FALSE,0,1,INCORRECT,cURz1z79Lna6iDOsmO1Y,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
217,-1.884035194,-0.152777778,-0.103333333,,0.166666667,0.138888889,2,21,0,1,2,7,1,1,5,2,4,0,25,0,4,FALSE,TRUE,FALSE,0.084173221,1,FALSE,1,1,CORRECT,3kwtjWxlHYYCBIro3egz,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
219,0.781949531,0.032962963,0.073333333,-0.04,0,-0.138888889,2,46,1,1,3,4.5,1.5,1,3,2.5,4,1,90,1,2,FALSE,FALSE,FALSE,-0.997168528,0,TRUE,0,1,INCORRECT,7iCxu1lxyfi2lAMgVPQb,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
221,-0.908641702,-0.140185185,0.016666667,-0.065,0.216666667,0.138888889,2,55,0,1,3,4.5,1.5,2.5,3,1.5,4,1,50,1,2,FALSE,FALSE,TRUE,0.300440129,0,FALSE,1,1,CORRECT,AfIgDJOx08wsFmvMH1Fv,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
229,0.64572139,0.014444444,0.073333333,0.01,0.133333333,-0.166666667,2,56,1,0,1,5.5,2.5,2,4,4.5,3,0,60,0,6,FALSE,FALSE,TRUE,1.525952607,1,FALSE,1,1,NONE,6Ql5aZdKy12KC3ywb7jR,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
231,0.40459758,-0.011666667,0.066666667,-0.035,0,0,2,60,1,1,1,2.5,2,1,1,1,4,1,20,0,6,TRUE,FALSE,FALSE,-0.997168528,1,TRUE,1,1,INCORRECT,8QuKbK12LDiPzAd7jIAW,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
232,-0.100808825,0.066296296,-0.08,0.01,-0.133333333,-0.055555556,2,55,1,0,3,1.5,1.5,4,2,3.5,3,1,40,1,1,FALSE,FALSE,TRUE,0.084173221,0,FALSE,1,1,NONE,5RSEgAZE2RPtFAMh4G9t,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
237,-1.097998819,-0.005925926,-0.143333333,0.01,0,0.027777778,2,35,0,1,1,4.5,1.5,1,1,1,4,0,50,0,5,FALSE,FALSE,FALSE,-0.060004718,1,FALSE,1,1,NONE,KsvY1Dt9WZtFkXGvLvDg,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
238,-1.43720689,-0.052037037,-0.143333333,0.005,0.133333333,0.027777778,2,38,1,0,1,6.5,4.5,1,3.5,3.5,1,0,,1,1,FALSE,FALSE,FALSE,-0.204182657,0,FALSE,1,1,NONE,82IoLCHkc0ZGuiGi8kYa,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
239,1.066666346,0.165,-0.02,0.095,-0.15,-0.25,1,54,0,1,3,4.5,3.5,4.5,3.5,4,4,1,56,0,6,FALSE,TRUE,FALSE,-0.492538534,1,FALSE,1,1,INCORRECT,75VEj2jPUkEYXWy5GCKY,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
240,0.707024053,0.042777778,0.053333333,0.045,0,-0.083333333,2,25,1,1,2,4,2.5,2.5,2,2,4,0,35,1,4,FALSE,TRUE,FALSE,-0.060004718,0,FALSE,1,1,INCORRECT,DNC0z7BSMqrrrTNII2kM,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
244,0.915453109,0.037777778,0.086666667,0.03,0,-0.083333333,1,54,1,0,2,6.5,2.5,2,3,5,3,0,55,0,6,FALSE,FALSE,TRUE,0.949240852,1,FALSE,1,1,INCORRECT,3Zzo1ZZSOTGmABkBJPpU,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
248,-0.362366856,-0.085925926,0.036666667,-0.18,0.133333333,-0.055555556,2,27,1,1,1,7,4,2,3.5,4.5,3,0,50,0,4,FALSE,TRUE,FALSE,-0.348360595,1,FALSE,1,1,INCORRECT,5LwPo7HlFKSDoBcZBlU9,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
259,0.979480336,0.116481481,0.016666667,0.055,-0.266666667,-0.027777778,1,50,1,0,2,2.5,1.5,2.5,3.5,1,4,0,10,1,1,FALSE,FALSE,FALSE,-0.348360595,0,FALSE,1,1,INCORRECT,3Zzo1ZZSOTGmABkBJPpU,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
263,1.341847192,0.112407407,0.07,-0.01,-0.291666667,-0.055555556,2,55,1,1,2,4.5,2,1,2,2,4,1,10,0,7,FALSE,TRUE,FALSE,0.588796006,1,FALSE,1,1,CORRECT,AMCvbSkXqCPx6rsp3FRw,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
267,0.517666937,0.03037037,0.04,0.13,0.316666667,-0.277777778,2,64,0,1,1,4,3.5,3,3.5,6.5,3,1,2,0,7,FALSE,TRUE,FALSE,-0.780894411,1,FALSE,0,1,INCORRECT,TQayVMQbeVsaW83zqXTj,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
269,0,0,0,0,0,0,1,40,1,1,3,2,2,1,1,1.5,4,1,0,1,1,FALSE,FALSE,FALSE,-0.204182657,0,FALSE,0,1,NONE,ZaujA0GfOIMGpDCDql7p,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
273,1.065304065,0.088148148,0.056666667,0.07,0,-0.194444444,2,40,1,0,3,5,6,4,5.5,4.5,2,0,50,0,6,TRUE,FALSE,FALSE,-0.204182657,1,FALSE,1,1,CORRECT,3Eql9yK0o25cEXLO0ju8,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
276,-0.781949531,0.007037037,-0.113333333,0.01,-0.066666667,0.055555556,1,41,0,1,3,7,6.5,3,6,2,4,0,25,1,2,TRUE,FALSE,FALSE,-0.780894411,0,FALSE,1,1,CORRECT,3kwtjWxlHYYCBIro3egz,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
281,-0.776500405,-0.072222222,-0.033333333,0,0.133333333,0.083333333,2,71,0,1,3,7,1,4.5,3.5,4.5,4,1,25,1,1,FALSE,FALSE,FALSE,-0.492538534,0,FALSE,1,1,CORRECT,3Eql9yK0o25cEXLO0ju8,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
282,-1.71647458,0,-0.233333333,0,0,0,2,33,1,1,3,5.5,2,1,6,2,3,1,1,1,1,FALSE,TRUE,FALSE,-0.997168528,0,TRUE,1,1,NONE,45slYVEut8Nfi50yqOE7,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
283,-0.034057035,-0.018333333,0.013703704,-0.055,0,0,2,59,0,1,3,2.5,2,2.5,3.5,4,4,1,5,1,2,FALSE,FALSE,TRUE,-0.204182657,0,FALSE,0,1,INCORRECT,ALDH8GBCqCBS7caqcI8d,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
285,0.303788755,0.107962963,-0.066666667,-0.015,-0.283333333,-0.055555556,1,56,1,1,2,4,2,3.5,2,2.5,4,0,15,1,2,FALSE,FALSE,FALSE,2.2468423,0,FALSE,1,1,CORRECT,3N1uJmFjg6zRIuL02f0e,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
